"Date","Nom","Quantité","Possédée","URL"
"2025-07-23","Chacha",1,"Non possédée","https://dofusdb.fr/fr/database/object/15568"
"2025-07-24","Bois d'Orme",10,"Non possédée","https://dofusdb.fr/fr/database/object/470"
"2025-07-25","Furoncle de la Mama Bwork",3,"Non possédée","https://dofusdb.fr/fr/database/object/13736"
"2025-07-26","Pic de Malépik",3,"Non possédée","https://dofusdb.fr/fr/database/object/26319"
"2025-07-27","Boulette de Viande",6,"Non possédée","https://dofusdb.fr/fr/database/object/17168"
"2025-07-28","Lame brisée de Lichangoro",4,"Non possédée","https://dofusdb.fr/fr/database/object/8347"
"2025-07-29","Jus de Cacterre",2,"Non possédée","https://dofusdb.fr/fr/database/object/18357"
"2025-07-30","Cuir de Boostache Prépubère",3,"Non possédée","https://dofusdb.fr/fr/database/object/883"
"2025-07-31","Flèche de Crâmbo",2,"Non possédée","https://dofusdb.fr/fr/database/object/18733"
"2025-08-01","Sauge",40,"Non possédée","https://dofusdb.fr/fr/database/object/7965"
"2025-08-02","Plume de Truchideur",4,"Non possédée","https://dofusdb.fr/fr/database/object/15071"
"2025-08-03","Potion de cité : Bonta",3,"Non possédée","https://dofusdb.fr/fr/database/object/6965"
"2025-08-04","Cendres Matures",4,"Non possédée","https://dofusdb.fr/fr/database/object/12438"
"2025-08-05","Poisskaille",10,"Possédée","https://dofusdb.fr/fr/database/object/11992"
"2025-08-06","Crème à bronzer",6,"Possédée","https://dofusdb.fr/fr/database/object/13727"
"2025-08-07","Racine de Tronkoblop",3,"Possédée","https://dofusdb.fr/fr/database/object/9383"
"2025-08-08","Aluminite",1,"Possédée","https://dofusdb.fr/fr/database/object/747"
"2025-08-09","Pétale de Tournesol Sauvage",6,"Possédée","https://dofusdb.fr/fr/database/object/2659"
"2025-08-10","Mangeoire en Frêne",1,"Non possédée","https://dofusdb.fr/fr/database/object/7607"
"2025-08-11","Kapokaza",3,"Non possédée","https://dofusdb.fr/fr/database/object/7408"
"2025-08-12","Viande de Brousse",4,"Non possédée","https://dofusdb.fr/fr/database/object/17150"
"2025-08-13","Flaque Vénérable",2,"Non possédée","https://dofusdb.fr/fr/database/object/12443"
"2025-08-14","Œil de Crocodaille albinos",1,"Non possédée","https://dofusdb.fr/fr/database/object/21206"
"2025-08-15","Paupière d'Étoile",6,"Non possédée","https://dofusdb.fr/fr/database/object/13728"
"2025-08-16","Ginseng",40,"Non possédée","https://dofusdb.fr/fr/database/object/16385"
"2025-08-17","Bronze",30,"Non possédée","https://dofusdb.fr/fr/database/object/13236"
"2025-08-18","Corne de Typhomet",2,"Non possédée","https://dofusdb.fr/fr/database/object/26033"
"2025-08-19","Bottes de Satisfaction",1,"Non possédée","https://dofusdb.fr/fr/database/object/3207"
"2025-08-20","Viande Avariée",6,"Non possédée","https://dofusdb.fr/fr/database/object/17134"
"2025-08-21","Terre Stérile",1,"Non possédée","https://dofusdb.fr/fr/database/object/22052"
"2025-08-22","Morue",40,"Non possédée","https://dofusdb.fr/fr/database/object/16481"
"2025-08-23","Poils de Boulglours",2,"Non possédée","https://dofusdb.fr/fr/database/object/11936"
"2025-08-24","Pustule de Rat Sio",3,"Non possédée","https://dofusdb.fr/fr/database/object/13340"
"2025-08-25","Millet",50,"Non possédée","https://dofusdb.fr/fr/database/object/16456"
"2025-08-26","Collier d'esclave",1,"Non possédée","https://dofusdb.fr/fr/database/object/22222"
"2025-08-27","Requin Marteau-Faucille",40,"Non possédée","https://dofusdb.fr/fr/database/object/602"
"2025-08-28","Bois de Noyer",40,"Non possédée","https://dofusdb.fr/fr/database/object/476"
"2025-08-29","Fleur de Blopignon",6,"Non possédée","https://dofusdb.fr/fr/database/object/9382"
"2025-08-30","Peau de Don Dorgan",1,"Non possédée","https://dofusdb.fr/fr/database/object/8391"
"2025-08-31","Rune Ré Eau",4,"Non possédée","https://dofusdb.fr/fr/database/object/7454"
"2025-09-01","Épine d'Armuguet",2,"Non possédée","https://dofusdb.fr/fr/database/object/27399"
"2025-09-02","Potion de Mini Soin Supérieure",4,"Non possédée","https://dofusdb.fr/fr/database/object/1183"
"2025-09-03","Pétale d'encre",1,"Non possédée","https://dofusdb.fr/fr/database/object/23965"
"2025-09-04","Planche Contreplaquée",1,"Non possédée","https://dofusdb.fr/fr/database/object/16490"
"2025-09-05","Plume du Serpiplume",4,"Non possédée","https://dofusdb.fr/fr/database/object/8309"
"2025-09-06","Poil de Renarbo",5,"Non possédée","https://dofusdb.fr/fr/database/object/8250"
"2025-09-07","Sépale de Nerbe",4,"Non possédée","https://dofusdb.fr/fr/database/object/8780"
"2025-09-08","Écume de mer",10,"Non possédée","https://dofusdb.fr/fr/database/object/17995"
"2025-09-09","Trident Cassé",6,"Non possédée","https://dofusdb.fr/fr/database/object/2484"
"2025-09-10","Aile de Dragodinde",1,"Non possédée","https://dofusdb.fr/fr/database/object/2588"
"2025-09-11","Sueur de dragodinde",4,"Possédée","https://dofusdb.fr/fr/database/object/10970"
"2025-09-12","Flamme Spectrale",6,"Non possédée","https://dofusdb.fr/fr/database/object/14284"
"2025-09-13","Lin",50,"Non possédée","https://dofusdb.fr/fr/database/object/23449"
"2025-09-14","Sueur Froide de Fantôme",6,"Non possédée","https://dofusdb.fr/fr/database/object/14944"
"2025-09-15","Bractée de Drosérâle",2,"Possédée","https://dofusdb.fr/fr/database/object/13945"
"2025-09-16","Carapace de Ver des Sables",1,"Non possédée","https://dofusdb.fr/fr/database/object/18567"
"2025-09-17","Substrat de Buisson",1,"Non possédée","https://dofusdb.fr/fr/database/object/2539"
"2025-09-18","Os de Chafer",9,"Non possédée","https://dofusdb.fr/fr/database/object/310"
"2025-09-19","Rhum de Qualité",6,"Non possédée","https://dofusdb.fr/fr/database/object/2620"
"2025-09-20","Mijoté Récréatif",4,"Non possédée","https://dofusdb.fr/fr/database/object/17197"
"2025-09-21","Épée d'Ha",1,"Non possédée","https://dofusdb.fr/fr/database/object/62"
"2025-09-22","Sable Fin",2,"Non possédée","https://dofusdb.fr/fr/database/object/18366"
"2025-09-23","Crinière fleurie",1,"Non possédée","https://dofusdb.fr/fr/database/object/8753"
"2025-09-24","Pépite",3,"Non possédée","https://dofusdb.fr/fr/database/object/11522"
"2025-09-25","Crabe Surprise",3,"Non possédée","https://dofusdb.fr/fr/database/object/29378"
"2025-09-26","Obsidienne",30,"Non possédée","https://dofusdb.fr/fr/database/object/11458"
"2025-09-27","Tresse du Poolay",1,"Non possédée","https://dofusdb.fr/fr/database/object/8786"
"2025-09-28","Arc Déroutant",1,"Non possédée","https://dofusdb.fr/fr/database/object/267"
"2025-09-29","Mât de Fantômat",3,"Non possédée","https://dofusdb.fr/fr/database/object/11315"
"2025-09-30","Dent en Or de Craqueleur",1,"Non possédée","https://dofusdb.fr/fr/database/object/2252"
"2025-10-01","Aquarakne de Crânonier",2,"Non possédée","https://dofusdb.fr/fr/database/object/19409"
"2025-10-02","Bois de Pin",40,"Non possédée","https://dofusdb.fr/fr/database/object/27375"
"2025-10-03","Arc Holic",1,"Non possédée","https://dofusdb.fr/fr/database/object/1350"
"2025-10-04","Pom de pin",2,"Non possédée","https://dofusdb.fr/fr/database/object/27362"
"2025-10-05","Kralamoure",40,"Non possédée","https://dofusdb.fr/fr/database/object/9720"
"2025-10-06","Étamine de Floribonde",4,"Non possédée","https://dofusdb.fr/fr/database/object/8778"
"2025-10-07","Pic de Ravageur",1,"Non possédée","https://dofusdb.fr/fr/database/object/26036"
"2025-10-08","Viande Saignante",5,"Non possédée","https://dofusdb.fr/fr/database/object/17144"
"2025-10-09","Poils de Pétartifoux",4,"Non possédée","https://dofusdb.fr/fr/database/object/7294"
"2025-10-10","Dent de Dragodinde",6,"Non possédée","https://dofusdb.fr/fr/database/object/2179"
"2025-10-11","Kolérat Mort",1,"Non possédée","https://dofusdb.fr/fr/database/object/2500"
"2025-10-12","Tige de Bambouto",5,"Non possédée","https://dofusdb.fr/fr/database/object/7290"
"2025-10-13","Parmentier à l'Oignon",4,"Non possédée","https://dofusdb.fr/fr/database/object/17179"
"2025-10-14","Masque de la Vengeance",2,"Non possédée","https://dofusdb.fr/fr/database/object/14923"
"2025-10-15","Chanvre",50,"Non possédée","https://dofusdb.fr/fr/database/object/17721"
"2025-10-16","Corne du Boufcoul",5,"Non possédée","https://dofusdb.fr/fr/database/object/7906"
